Index,Time,Latitude,Longitude,Height,Elevation,Azimuth,Distance,dElev,dAz,Elev Steps,Az Steps
1009,101782,-35.29088054553578,-74.72510429485285,389.886441572079,7.591005559289266,262.14075939649615,1573.613781811662,0.009448149570455477,-0.0016552620070910962,0,0
1010,101882,-35.291421106167824,-74.71759591788306,389.8870027187219,7.600459188090697,262.1391028604968,1572.9356859857273,0.00945362880143108,-0.001656535999359221,0,0
1011,101983,-35.291961148603576,-74.71008743686085,389.8875636455813,7.609918303067978,262.1374450487402,1572.2576059991832,0.00945911497728158,-0.0016578117566155015,1,0
1012,102082,-35.29250067282661,-74.70257885188384,389.88812435263594,7.619382911178171,262.1357859594552,1571.5795418803723,0.009464608110192785,-0.0016590892849990269,0,0
1013,102183,-35.29303967881998,-74.6950701630431,389.8886848398788,7.628853019398094,262.13412559087016,1570.9014936571066,0.009470108219923112,-0.0016603685850213878,0,0
1014,102282,-35.29357816656661,-74.68756137044657,389.8892451072834,7.638328634694627,262.13246394120983,1570.2234613587311,0.009475615296532958,-0.0016616496603205633,0,0
1015,102382,-35.29411613604982,-74.6800524741864,389.8898051548498,7.647809764066651,262.1308010086947,1569.5454450132536,0.009481129372024277,-0.0016629325151598096,0,0
1016,102483,-35.294653587253165,-74.67254347435474,389.89036498256587,7.657296414524173,262.12913679154155,1568.8674446486934,0.009486650457521506,-0.001664217153120262,1,0
1017,102582,-35.29519052015946,-74.66503437105577,389.8909245904052,7.666788593073416,262.127471287966,1568.1894602942118,0.00949217854924278,-0.001665503575566163,0,0
1018,102683,-35.29572693475223,-74.65752516438278,389.8914839783587,7.676286306746229,262.12580449617803,1567.511491978027,0.009497713672812935,-0.0016667917879544802,0,0
1019,102782,-35.296262831014744,-74.65001585443538,389.8920431464212,7.68578956257843,262.1241364143852,1566.8335397289754,0.00950325583220124,-0.001668081792843168,0,0
1020,102882,-35.296798208930056,-74.64250644130978,389.8926020945746,7.695298367621288,262.1224670407931,1566.1556035756296,0.009508805042858448,-0.0016693735921080588,0,0
